element,sp_num,obs_wl_vac(A),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Ti,1,3585.798,8,,,0.00000000,3.4576469,3d2.4s2,a 3F,2,3d2.(3P).4s.4p.(3P*),z 5P*,3,,,L10989
Fe,1,3585.8087,4790,1.56e+07,B,2.86539125,6.32302612,3d6.(5D).4s.4p.(3P*),z 7F*,3,3d6.(5D).4s (6D).4d,f 7D,2,,T5720,L11631
Ne,2,3585.957,80,,,34.6440204,38.1015169,2s2.2p4.(3P).3d,4D,1/2,2s2.2p4.(3P).5p,4P*,1/2,,,L1406
Fe,1,3585.9806,23400,6.74e+07,B+,3.26711257,6.72458242,3d7.(2H).4s,b 3H,5,3d6.(3G).4s.4p.(3P*),t 3G*,4,,T5720,L11631
C,2,3586.000,57,1.76e+07,B,22.532400,25.989855,2s.2p.(3P*).3p,4D,5/2,2s.2p.(3P*).4s,4P*,5/2,,T5109LS,L1176
Fe,1,3586.2128,2570,3.19e+06,B,2.94879294,6.40603863,3d6.4s2,b 3G,5,3d7.(2H).4p,u 3G*,4,,T5720,L11631
Ne,2,3586.267,40,,,36.00153059,39.4587284,2s2.2p4.(3P).4p,4P*,5/2,2s2.2p4.(3P).7s,4P,5/2,,,L1406
Cr,2,3586.31741,540,,,2.70564569,6.16279089,3d5,a 4P,5/2,3d4.(5D).4p,z 4P*,5/2,,,L18847
Fe,1,3586.3420,288000,1.17e+07,B+,0.95815732,4.41527878,3d7.(4F).4s,a 5F,3,3d7.(4F).4p,z 5G*,3,,T5720,L11631
Cr,2,3586.52782,230,,,2.70584858,6.16279089,3d5,a 4P,3/2,3d4.(5D).4p,z 4P*,5/2,,,L18847
Fe,1,3586.7285,166000,3.75e+06,A,0.91460217,4.37135106,3d7.(4F).4s,a 5F,4,3d7.(4F).4p,z 5G*,4,,T3548,L11631
C,2,3586.832,20,4.90e+06,B,22.527518,25.984173,2s.2p.(3P*).3p,4D,1/2,2s.2p.(3P*).4s,4P*,3/2,,T5109LS,L1176
Fe,1,3587.0274,479,,,3.95972364,7.4161840,3d6.(5D).4s.4p.(3P*),z 3D*,1,3d6.4s.(4D).4d,3F,2,,,L11631
Fe,3,3587.06,670bl(Fe I),,,11.217174,14.673582,3d5.(4F).4s,3F,4,3d5.(4G).4p,3F*,4,,,L1171
Fe,1,3587.1359,50000,7.02e+07,B+,3.23672008,6.6930753,3d7.(2H).4s,b 3H,6,3d6.(3G).4s.4p.(3P*),t 3G*,5,,T5720,L11631
V,1,3587.257,12000,,,2.13030555,5.5865468,3d4.(3G).4s,a 4G,9/2,3d3.4s.(5F).5p,4G*,7/2,,,L15916
Cr,1,3587.2588,6*,,,3.10437812,6.56061581,3d5.(4G).4s,a 3G,5,3d4.(1G1).4s.4p.(3P*),x 3H*,6,,,L14866
Cr,1,3587.2588,6*,,,3.42162179,6.877850,3d4.4s2,b 3G,3,3d5.(4G).5p,u 3F*,2,,,L14866
V,2,3587.320,87,,,3.3277048,6.7838806,3d4,a 1F,3,3d3.(2D2).4p,x 3P*,2,,,L10089c179
Cr,2,3587.3309,31,,,10.90422840,14.36039750,3d4.(5D).4d,e 6F,9/2,3d4.(5D<4>).5f,2[4]*,9/2,,,L18847
V,1,3587.518,6500,4.6e+04,C+,0.27526426,3.73125300,3d4.(5D).4s,a 6D,5/2,3d3.(4P).4s.4p.(3P*),y 4P*,3/2,,T9399,L15916
Mn,1,3587.56,720,,,,,,,,,,,,,L3475
Fe,7,3587.57,556,3.1e-01,C+,0.130152,3.58606,3p6.3d2,3F,3.000,3p6.3d2,1G,4.000,M1,T4385,"L22066,L9077"
Al,2,3587.581,200,2.35e+08,A,11.846618,15.302546,3s.3d,3D,3,3s.4f,3F*,4,,"T6298c4,LS",L3515
K,2,3587.62,2,2.52e+07,,23.250385,26.706308,3p5.4p,3D,1,3p5.4d,3P*,1,,T8304,L3490
Al,2,3587.732,15,,,11.846753,15.302546,3s.3d,3D,2,3s.4f,3F*,4,,,L3515
Fe,1,3587.762,3020bl,3.62e+06,C,2.80829367,6.26404671,3d6.(5D).4s.4p.(3P*),z 7F*,6,3d6.(5D).4s (6D).4d,e 5G,6,,T5720,L11631
Sc,2,3587.800,6,3.4e+07,E,3.687558,7.143275,3p6.3d.4p,3P*,1,3p6.3d.5s,3D,2,,T2757,L5141
Al,2,3587.835,2,,,11.846869,15.302546,3s.3d,3D,1,3s.4f,3F*,4,,,L3515
Al,2,3587.936,50,,,11.846618,15.302186,3s.3d,3D,3,3s.4f,3F*,3,,,L3515c14
Al,2,3587.944,75hfs,2.62e+07,B,11.846618,15.302186,3s.3d,3D,3,3s.4f,3F*,3,,"T6298c4,LS",L3515c150
Al,2,3587.960,25,,,11.846618,15.302186,3s.3d,3D,3,3s.4f,3F*,3,,,L3515c14
Fe,1,3588.0082,269000,1.66e+07,B+,0.99011115,4.44562726,3d7.(4F).4s,a 5F,2,3d7.(4F).4p,z 5G*,2,,T5720,L11631
Al,2,3588.092,100,2.09e+08,B+,11.846753,15.302186,3s.3d,3D,2,3s.4f,3F*,3,,"T6298c4,LS",L3515
Ti,2,3588.1549,164,1.67e+06,B+,0.60723963,4.06261454,3d2.(3F).4s,a 2F,7/2,3d2.(3F).4p,z 4D*,7/2,,T7385,u37
Al,2,3588.189,5,,,11.846618,15.301941,3s.3d,3D,3,3s.4f,3F*,2,,,L3515c14
Al,2,3588.209,15hfs,1.03e+06,C,11.846618,15.301941,3s.3d,3D,3,3s.4f,3F*,2,,"T6298c4,LS",L3515c150
Al,2,3588.219,10,,,11.846618,15.301941,3s.3d,3D,3,3s.4f,3F*,2,,,L3515c14
Fe,1,3588.2628,5600,7.73e+06,C,2.86539125,6.32066224,3d6.(5D).4s.4p.(3P*),z 7F*,3,3d6.(5D).4s (6D).4d,e 5G,4,,T5720,L11631
He,1,3588.294,1*,5.0298e+04,AAA,[20.96408720675],[24.419336102843],1s.2p,3P*,2,1s.9d,3D,1,,T8636c73,L551
He,1,3588.294,1*,4.5265e+05,AAA,[20.96408720675],[24.419335902367],1s.2p,3P*,2,1s.9d,3D,2,,T8636c73,L551
He,1,3588.294,1*,1.8107e+06,AAA,[20.96408720675],[24.419335888144],1s.2p,3P*,2,1s.9d,3D,3,,T8636c73,L551
He,1,3588.294,1*,7.5448e+05,AAA,[20.96409668230],[24.419336102843],1s.2p,3P*,1,1s.9d,3D,1,,T8636c73,L551
He,1,3588.294,1*,1.3580e+06,AAA,[20.96409668230],[24.419335902367],1s.2p,3P*,1,1s.9d,3D,2,,T8636c73,L551
Al,2,3588.333,30,,,11.846753,15.301941,3s.3d,3D,2,3s.4f,3F*,2,,,L3515c14
Ti,1,3588.334,4,,,1.9807258,5.43593108,3d2.(3F).4s.4p.(3P*),z 5G*,3,3d3.(4F).4d,f 5H,3,,,L10989
Al,2,3588.354,80hfs,3.66e+07,B,11.846753,15.301941,3s.3d,3D,2,3s.4f,3F*,2,,"T6298c4,LS",L3515c150
Al,2,3588.366,50,,,11.846753,15.301941,3s.3d,3D,2,3s.4f,3F*,2,,,L3515c14
Fe,1,3588.4466,9300,,,2.42419831,5.87929188,3d6.4s2,a 3P2,1,3d6.(3P2).4s.4p.(3P*),1D*,2,,,L11631
Al,2,3588.474,70,1.97e+08,B+,11.846869,15.301941,3s.3d,3D,1,3s.4f,3F*,2,,"T6298c4,LS",L4575
Fe,3,3588.573,64,,,11.218609,14.673582,3d5.(4F).4s,3F,3,3d5.(4G).4p,3F*,4,,,L1171
Ti,1,3588.6708,7,,,1.9968989,5.45177697,3d2.(3F).4s.4p.(3P*),z 5G*,4,3d3.(4F).4d,f 5H,5,,,L10989
C,2,3588.681,44,3.13e+07,B,22.529299,25.984173,2s.2p.(3P*).3p,4D,3/2,2s.2p.(3P*).4s,4P*,3/2,,T5109LS,L1176
Fe,1,3588.77549,8700,,,,,,,,,,,,,L11631
Ti,1,3588.9184,6,,,1.9968989,5.45154131,3d2.(3F).4s.4p.(3P*),z 5G*,4,3d3.(4F).4d,5F,3,,,L10989
Ti,1,3589.147,1,,,1.0460073,4.5004314,3d2.4s2,a 3P,0,3d3.(4P).4p,y 5P*,1,,,L10989
V,2,3589.155,1500,1.9e+07,D+,2.3763202,5.8307331,3d3.(2P).4s,b 3P,1,3d3.(4P).4p,z 3P*,0,,T9770,L18516
Ar,2,3589.46441,12303,3.03e+08,B,19.49453389,22.94864813,3s2.3p4.(3P).4p,4D*,7/2,3s2.3p4.(3P).4d,4F,9/2,,T926,L11520
Fe,1,3589.5503,1860,7.21e+06,C,2.93984587,6.39387714,3d6.(5D).4s.4p.(3P*),z 7P*,4,3d6.(5D).4s (6D).4d,e 7S,3,,T5720,L11631
Fe,1,3589.6332,9800,1.19e+07,B,2.83252676,6.28647868,3d6.(5D).4s.4p.(3P*),z 7F*,5,3d6.(5D).4s (6D).4d,e 5G,5,,T5720,L11631
Mg,3,3589.718,1,,,66.30389,69.75775,2s2.2p5.3d,1D*,2,2s2.2p5.(2P*<3/2>).4p,2[3/2],1,,,L1434
Cr,1,3589.750,3,,,3.11278390,6.56662110,3d4.4s2,a 3F,3,3d4.(1G1).4s.4p.(3P*),x 3H*,4,,,L808
Cr,1,3589.85,15:,,,3.1952485,6.649000,3d4.(5D).4s.4p.(3P*),z 7F*,6,3d4.4s.4d,h 7D,5,,,L9365
V,2,3589.870,160h,,,4.24383695,7.6975668,3d3.(2F).4s,b 1F,3,3d3.(2F).4p,w 3F*,2,,,L10089c179
C,2,3589.939,34,4.92e+07,B+,22.527518,25.981185,2s.2p.(3P*).3p,4D,1/2,2s.2p.(3P*).4s,4P*,1/2,,T2440,L1176
Fe,1,3589.9418,4680,2.15e+07,C+,2.87550352,6.32915863,3d6.(5D).4s.4p.(3P*),z 7F*,2,3d6.(5D).4s (6D).4d,f 7D,1,,T5720,L11631
Ti,1,3589.956,6,,,2.0169105,5.47055253,3d2.(3F).4s.4p.(3P*),z 5G*,5,3d3.(4F).4d,5F,5,,,L10989
Fe,1,3590.1291,27500,3.61e+05,A,0.85899575,4.31247059,3d7.(4F).4s,a 5F,5,3d7.(4F).4p,z 5G*,5,,T3548,L11631
Fe,1,3590.4761,11200,1.05e+07,B,2.72754450,6.18068544,3d7.(2G).4s,a 3G,4,3d7.(2G).4p,v 3G*,3,,T5720,L11631
Ne,2,3590.518,100,,,34.61869947,38.0718040,2s2.2p4.(3P).3d,4D,5/2,2s2.2p4.(3P).5p,4P*,3/2,,,L1406
Fe,1,3590.6296,650,9.28e+05,C+,2.99035244,6.44334733,3d6.4s2,b 3G,4,3d7.(2P).4p,u 3D*,3,,T6110,L11631
Sc,2,3590.657,11g,4.6e+07,B+,0.008396,3.461364,3p6.3d.4s,3D,2,3p6.3d.4p,3D*,1,,T5448,L5141
C,2,3590.681,96,7.80e+07,B,22.536905,25.989855,2s.2p.(3P*).3p,4D,7/2,2s.2p.(3P*).4s,4P*,5/2,,T5109LS,L1176
Fe,3,3590.724,220,,,17.662873,21.115753,3d5.(c 2D).4s,1D,2,3d5.(b 2G).4p,1F*,3,,,L1171
V,2,3590.78367,130000,7.0e+07,B+,1.07126862,4.52411375,3d3.(4F).4s,a 3F,2,3d3.(4F).4p,z 3D*,1,,T9616n,L18516
Ti,1,3590.891,3,,,1.05292613,4.5056692,3d2.4s2,a 3P,1,3d3.(4P).4p,y 5P*,2,,,L10989
V,1,3591.012,14000,,,1.7996004,5.2522275,3d3.4s2,2D2,3/2,3d3.(4P).4s.4p.(3P*),w 2S*,1/2,,,L15916
Fe,1,3591.1082,1700,9.23e+05,C+,2.94879294,6.40132623,3d6.4s2,b 3G,5,3d6.(3H).4s.4p.(3P*),1H*,5,,T5720,L11631
Cr,1,3591.35,7wh,,,3.16762385,6.6199389,3d4.(5D).4s.4p.(3P*),z 7F*,5,3d4.4s.4d,e 7G,5,,,L808
Ne,2,3591.474,80,3.6e+06,D,31.36223939,34.81442056,2s2.2p4.(3P).3p,4S*,3/2,2s2.2p4.(3P).3d,4F,5/2,,T380,L1406
Si,3,3591.49,20,2.53e+08,C,21.881623,25.333789,3s.4p,1P*,1,3s.4d,1D,2,,"c44,T5038,T1860",L4833
Sc,2,3591.499,11g,2.9e+07,B+,0.022039,3.474197,3p6.3d.4s,3D,3,3p6.3d.4p,3D*,2,,T5448,L5141
F,2,3591.54,160,,,,,,,,,,,,,L369
C,2,3591.84,150*,4.95e+07,B+,22.529299,25.981185,2s.2p.(3P*).3p,4D,3/2,2s.2p.(3P*).4s,4P*,1/2,,T2440,"L21568,L1176"
C,2,3591.84,150*,6.23e+07,B+,22.532400,25.984173,2s.2p.(3P*).3p,4D,5/2,2s.2p.(3P*).4s,4P*,3/2,,T2440,"L21568,L1176"
Cr,2,3592.0777,140*,,,10.91077539,14.36237579,3d4.(5D).4d,e 6F,11/2,3d4.(5D<4>).5f,2[5]*,11/2,,,L18847
Cr,2,3592.0777,140*,,,10.84496502,14.29656424,3d4.(5D).4d,f 6D,3/2,3d4.(5D<1>).5f,2[2]*,5/2,,,L18847c153
V,1,3592.089,26000,,,1.93068628,5.38227593,3d4.(3P2).4s,b 4P,5/2,3d4.(5D).5p,q 4D*,5/2,,,L15916
S,4,3592.117,5w,8.12e+06,D,32.86264,36.31422,3s.3p.(3P*).3d,2P*,1/2,3s.3p.(3P*).4p,2P,3/2,,"T6527c4,LS",u24
Sc,2,3592.138,0d,,,7.143275,10.594820,3p6.3d.5s,3D,2,3p6.3d.5f,*,3,,,L5141
Fe,3,3592.215,19,,,15.336492,18.787949,3d5.(4D).4p,5P*,2,3d5.(6S).4d,5D,2,,,L1171
Fe,1,3592.3740,1860,7.8e+05,E,2.85122419,6.30254306,3d6.(5D).4s.4p.(3P*),z 7F*,4,3d6.(5D).4s (6D).4d,e 7F,5,,T2578n,L11631
Mn,2,3592.40,5,,,6.8114703,10.262768,3d4.4s2,c 5D,1,3d5.(4F).4p,x 5D*,1,,,L562
Fe,1,3592.5087,690,6.3e+06,E,3.29183986,6.74302768,3d6.(5D).4s.4p.(3P*),z 5D*,0,3d7.(4F).4d,g 5F,1,,T2578n,L11631
Cr,2,3592.5742,28,,,10.91077539,14.36189982,3d4.(5D).4d,e 6F,11/2,3d4.(5D<4>).5f,2[6]*,13/2,,,L18847
Ne,2,3592.821,22,,,31.51244241,34.96332866,2s2.2p4.(3P).3p,2P*,3/2,2s2.2p4.(3P).4s,4P,5/2,,,L1406
V,2,3593.04678,130000,5.1e+07,B,1.09627457,4.54694489,3d3.(4F).4s,a 3F,3,3d3.(4F).4p,z 5F*,2,,T9616n,L18516
V,1,3593.263,2400000,,,1.06360365,4.5140665,3d4.(5D).4s,a 4D,5/2,3d3.(4P).4s.4p.(3P*),y 4S*,3/2,,,L15916
Fe,1,3593.4950,760,2.2e+05,E,2.58810592,6.03834476,3d6.4s2,b 3F2,3,3d6.(3H).4s.4p.(3P*),y 1G*,4,,T2578n,L11631
Fe,1,3593.6999,930,4.3e+06,E,3.24096914,6.69101333,3d6.(5D).4s.4p.(3P*),z 5D*,3,3d7.(4F).4d,h 5D,2,,T2578n,L11631
Fe,1,3593.917,398,,,2.19786640,5.64769932,3d7.(4P).4s,a 5P,2,3d6.(3P2).4s.4p.(3P*),x 3D*,1,,,L11631
Ti,2,3594.1009,24,1.16e+06,B,1.58182260,5.03148088,3d3,b 2D2,5/2,3d2.(3P).4p,y 4D*,5/2,,T7385,u37
Fe,3,3594.152,140,,,11.211120,14.660727,3d5.(4F).4s,3F,2,3d5.(4P).4p,5P*,3,,,L1171
K,2,3594.25,2,3.46e+06,,23.462708,26.912246,3p5.4p,1P,1,3p5.4d,3F*,2,,T8304,L3490
Fe,1,3594.3479,1260,,,3.26570610,6.71512541,3d6.(5D).4s.4p.(3P*),z 5D*,2,3d7.(4F).4d,f 5G,3,,,L11631
V,2,3594.35853,65000,2.10e+07,B,1.12799449,4.57740544,3d3.(4F).4s,a 3F,4,3d3.(4F).4p,z 5F*,3,,T9616n,L18516
Cr,1,3594.5275,1450q,1.50e+08,B,0.00000000,3.44926489,3d5.(6S).4s,a 7S,3,3d4.(5D).4s.4p.(3P*),y 7P*,3,,"T2887,T3125,T2360",L14866
Ne,1,3594.5517,5000,8.87e+05,C+,16.84805369,20.29727991,2s2.2p5.(2P*<1/2>).3s,2[1/2]*,1,2s2.2p5.(2P*<1/2>).4p,2[3/2],2,,T6976,L3451
Ne,1,3594.6639,3000,7.4e+05,C,16.84805369,20.29717120,2s2.2p5.(2P*<1/2>).3s,2[1/2]*,1,2s2.2p5.(2P*<1/2>).4p,2[1/2],1,,T6976,L5951
Ar,2,3594.742,2,,,21.351799846,24.800842727,3s2.3p4.(1D).4p,2P*,3/2,3s2.3p4.(3P).6s,2P,3/2,,,L11520
Sc,2,3595.112,4,,,3.686828,7.135524,3p6.3d.4p,3P*,0,3p6.3d.5s,3D,1,,,L5141
F,1,3595.129,6,,,12.696690,16.145361,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).4p,4S*,3/2,,,L7481
Ne,2,3595.1838,160,1.3e+08,D,31.36223939,34.81085841,2s2.2p4.(3P).3p,4S*,3/2,2s2.2p4.(3P).3d,4P,1/2,,T380,L5951
Cr,1,3595.34,8,,,2.54383615,5.9923103,3d5.(4G).4s,a 5G,2,3d4.(3P1).4s.4p.(3P*),x 3P*,1,,,L808
Ar,2,3595.40,0.5,,,17.69466481,21.143075448,3s2.3p4.(3P).3d,4F,7/2,3s2.3p4.(1D).4p,2F*,7/2,,,L14821
S,2,3595.465,17,1.99e+07,C,14.002474,17.450818,3s2.3p2.(3P).4s,2P,1/2,3s2.3p2.(1D).4p,2D*,3/2,,T3186c85,L5883
Ti,1,3595.550,3,,,1.06655474,4.5148264,3d2.4s2,a 3P,2,3d3.(4P).4p,y 5P*,3,,,L10989
Fe,1,3595.6577,18200,3.14e+07,B+,2.85122419,6.29938878,3d6.(5D).4s.4p.(3P*),z 7F*,4,3d6.(5D).4s (6D).4d,f 7D,4,,T5720,L11631
Sc,2,3595.857,4,,,3.687558,7.135524,3p6.3d.4p,3P*,1,3p6.3d.5s,3D,1,,,L5141
V,1,3595.899,5700,,,0.28657323,3.7345061,3d4.(5D).4s,a 6D,7/2,3d3.(4P).4s.4p.(3P*),y 4P*,5/2,,,L15916
Mn,1,3596.15,290,1.8e+07,E,2.163713,5.611422,3d6.(5D).4s,a 6D,5/2,3d6.(5D).4p,x 6P*,3/2,,T1117,L3475
C,1,3596.166,2700*,,,7.68476777,11.132446,2s2.2p.3s,1P*,1,2s2.2p.(2P*<1/2>).11p,2[3/2],1,,,L17684
C,1,3596.166,2700*,,,7.48277598,10.930438,2s2.2p.3s,3P*,1,2s2.2p.7p,3P,0,,,L17684
Fe,1,3596.3270,2290,8.21e+06,B,2.87550352,6.32302612,3d6.(5D).4s.4p.(3P*),z 7F*,2,3d6.(5D).4s (6D).4d,f 7D,2,,T5720,L11631
Ti,1,3596.3450,6,,,1.05292613,4.5004314,3d2.4s2,a 3P,1,3d3.(4P).4p,y 5P*,1,,,L10989
C,1,3596.482,2700,,,7.48779869,10.935183,2s2.2p.3s,3P*,2,2s2.2p.7p,3P,2,,,L17684
V,1,3596.643,19000,,,1.7996004,5.2468211,3d3.4s2,2D2,3/2,3d4.(3D).4p,v 2P*,3/2,,,L15916
Cr,1,3596.781,4,,,1.00367492,4.45075789,3d4.4s2,a 5D,3,3d4.(5D).4s.4p.(3P*),z 3F*,2,,,L808
Cr,2,3596.7869,14,,,11.58559701,15.0326791,3d4.(5D).5p,6F*,9/2,3d4.(5D).8s,6D,9/2,,,L18847
Mn,2,3596.83,10,,,10.6496819,14.096729,3d5.(6S).5p,x 7P*,2,3d5.(6S).8s,7S,3,,,L562
Fe,1,3596.8903,1170,4.14e+05,D+,2.45343044,5.90041395,3d6.4s2,a 3H,4,3d6.(3G).4s.4p.(3P*),w 5G*,4,,T5720,L11631
S,2,3597.003,19,2.31e+07,C,13.092615,16.539488,3s2.3p2.(3P).3d,2P,3/2,3s2.3p2.(3P).4p,2P*,3/2,,T3186c85,L5883
Ti,2,3597.0728,550,8.00e+06,B+,0.60723963,4.05404799,3d2.(3F).4s,a 2F,7/2,3d2.(3F).4p,z 4D*,5/2,,T7385,u37
Fe,1,3597.2218,1950,4.32e+05,B,2.43269470,5.87935896,3d6.4s2,a 3H,5,3d6.(3G).4s.4p.(3P*),w 5G*,5,,T4187,L11631
Fe,5,3597.2,9,8.2e-03,C,3.09122,6.53801,3d4,3H,4,3d4,1F,3,M1+E2,T9277,L18479
Ti,2,3597.5263,7,5.11e+05,C+,1.56577729,5.01215028,3d3,b 2D2,3/2,3d2.(3P).4p,y 4D*,3/2,,T7385,u37
S,2,3597.604,8,,,15.898891,19.345197,3s2.3p2.(3P).4p,4D*,5/2,3s2.3p2.(3P).4d,4P,3/2,,,L5883
Ti,1,3597.697,6,,,1.9968989,5.44311148,3d2.(3F).4s.4p.(3P*),z 5G*,4,3d3.(4F).4d,f 5H,4,,,L10989
Fe,1,3598.0472,550,1.8e+07,D,3.26570610,6.71158094,3d6.(5D).4s.4p.(3P*),z 5D*,2,3d7.(4F).4d,h 5D,1,,T2578n,L11631
Fe,1,3598.0786,2040,,,3.25148176,6.69732648,3d7.(2D2).4s,a 3D,3,3d7.(4F).5p,3G*,4,,,L11631
Sc,2,3598.357,5,,,3.697696,7.143275,3p6.3d.4p,3P*,2,3p6.3d.5s,3D,2,,,L5141
Na,2,3598.45,35,,,,,,,,,,,,,L914
Al,2,3598.53,4,,,15.062034,18.50749,3s.4d,3D,3,3s.13f,3F*,4,,,L3471
V,1,3599.125,15000,,,1.95532863,5.40017280,3d4.(3F2).4s,b 4F,9/2,3d4.(5D).5p,q 4D*,7/2,,,L15916
Fe,3,3599.15,18p,,,15.343123,18.787949,3d5.(4D).4p,5P*,3,3d5.(6S).4d,5D,2,,,L1171
Ti,1,3599.2109,8,,,2.0169105,5.46166947,3d2.(3F).4s.4p.(3P*),z 5G*,5,3d3.(4F).4d,f 5H,6,,,L10989
Fe,3,3599.23,30p,,,15.343123,18.787859,3d5.(4D).4p,5P*,3,3d5.(6S).4d,5D,3,,,L1171
Ti,1,3599.373,1,,,2.16028282,5.6048915,3d3.(2D2).4s,a 3D,2,3d3.(4F).5p,n 3D*,3,,,L10989
Na,2,3599.40,25,,,,,,,,,,,,,L914
Sc,1,3599.444,3,,,,,,,,,,,,,L4189c12
F,2,3599.72,170,,,,,,,,,,,,,L369
Ti,1,3599.7398,15+,,,0.8995494,4.3438034,3d2.4s2,a 1D,2,3d2.(3P).4s.4p.(3P*),x 1D*,2,,,L10989
Fe,1,3599.7438,950,3.1e+06,D,3.25148176,6.69573167,3d7.(2D2).4s,a 3D,3,3d6.(3D).4s.4p.(3P*),t 5P*,3,,T2578n,L11631
Fe,1,3599.956,339,,,3.28302483,6.72707289,3d6.(5D).4s.4p.(3P*),z 5D*,1,3d7.(4F).4d,g 5F,2,,,L11631
Fe,1,3600.0059,457,,,2.88515991,6.32915863,3d6.(5D).4s.4p.(3P*),z 7F*,0,3d6.(5D).4s (6D).4d,f 7D,1,,,L11631
Sc,1,3600.058,2,,,2.0098848,5.453837,3d.4s.(3D).4p,4D*,7/2,3d.4s.(3D).6s,4D,7/2,,,L4189c12
Cr,1,3600.4169,14,,,2.91511324,6.3587200,3d4.4s2,a 3P,1,3d5.(4D).4p,w 3P*,2,,,L14866
Fe,3,3600.466,79,,,11.217174,14.660727,3d5.(4F).4s,3F,4,3d5.(4P).4p,5P*,3,,,L1171
Fe,1,3600.6519,4680,2.33e+07,B+,3.57321890,7.01660092,3d7.(2H).4s,a 1H,5,3d6.(1G2).4s.4p.(3P*),u 3F*,4,,T5720,L11631
Ti,1,3600.674,6q,,,2.0169105,5.46027577,3d2.(3F).4s.4p.(3P*),z 5G*,5,3d3.(4F).4d,5F,4,,,L10989
V,1,3601.0532,83000,,,1.8038233,5.2468211,3d3.4s2,2D2,5/2,3d4.(3D).4p,v 2P*,3/2,,,L15916
S,2,3601.083,14*,,,17.854893,21.297861,3s2.3p2.(1D).3d,2D,5/2,3s2.3p2.(1D<2>).4f,2[2]*,3/2,,,L5883
S,2,3601.083,14*,,,17.854893,21.297861,3s2.3p2.(1D).3d,2D,5/2,3s2.3p2.(1D<2>).4f,2[2]*,5/2,,,L5883
Ne,1,3601.1965,1000,4.37e+05,C,16.84805369,20.29091576,2s2.2p5.(2P*<1/2>).3s,2[1/2]*,1,2s2.2p5.(2P*<1/2>).4p,2[3/2],1,,T6976,L3451
Ar,2,3601.2488,10,,,21.351799846,24.79461100,3s2.3p4.(1D).4p,2P*,3/2,3s2.3p4.(1D).4d,2D,3/2,,,L11520
Mn,2,3601.38,1,,,5.3699198,8.8126110,3d5.(4F).4s,a 5F,1,3d5.(4P).4p,z 3D*,1,,,L562
Cr,1,3601.70,2,,,2.54460569,5.98699306,3d5.(4G).4s,a 5G,4,3d4.(3H).4s.4p.(3P*),y 3H*,4,,,L808
Cr,1,3601.91,1,,,3.84462239,7.286786,3d5.(2D3).4s,b 3D,3,3d5.(4P).5p,t 3D*,2,,,L808
Fe,3,3601.971,910,,,11.218609,14.660727,3d5.(4F).4s,3F,3,3d5.(4P).4p,5P*,3,,,L1171
Ne,2,3602.087,120,,,34.6086522,38.0506625,2s2.2p4.(3P).3d,4D,7/2,2s2.2p4.(3P).5p,4P*,5/2,,,L1406
Cr,1,3602.25,2,,,3.01329987,6.455146,3d5.(4D).4s,b 5D,3,3d4.(3D).4s.4p.(3P*),t 5D*,4,,,L808
Mg,3,3602.315,4,,,66.35381,69.79560,2s2.2p5.3d,3D*,2,2s2.2p5.(2P*<3/2>).4p,2[3/2],2,,,L1434
Ti,1,3602.378,8q,,,1.9685072,5.41024129,3d2.(3F).4s.4p.(3P*),z 5G*,2,3d3.(4F).4d,5G,3,,,L10989
F,2,3602.42,180,,,,,,,,,,,,,L369
Sc,1,3602.424,1,,,,,,,,,,,,,L4189c12
C,1,3602.492,2700,,,7.48039414,10.922016,2s2.2p.3s,3P*,0,2s2.2p.7p,3D,1,,,L17684
Ar,2,3602.5364,15,2.e+05,C,16.42557623,19.867157038,3s2.3p4.(3P).3d,4D,5/2,3s2.3p4.(3P).4p,2P*,3/2,,T926,L11520
Al,3,3602.656,14,1.31e+08,A+,14.376738,17.818203,2p6.3d,2D,5/2,2p6.4p,2P*,3/2,,c32,L277
Sc,1,3602.668,1,,,2.0012291,5.442692,3d.4s.(3D).4p,4D*,5/2,3d.4s.(3D).6s,4D,5/2,,,L4189c12
Cr,1,3602.6888,51,,,2.70791527,6.1493503,3d5.(4P).4s,a 5P,3,3d4.(3F1).4s.4p.(3P*),1D*,2,,,L14866
Mn,3,3602.75,150,,,,,,,,,,,,,L457
Al,3,3602.954,11,1.46e+07,A+,14.377022,17.818203,2p6.3d,2D,3/2,2p6.4p,2P*,3/2,,c32,L277
Fe,1,3603.1101,1320,3.2e+06,D,2.88199261,6.32302612,3d6.(5D).4s.4p.(3P*),z 7F*,1,3d6.(5D).4s (6D).4d,f 7D,2,,T2578n,L11631
Cl,3,3603.13,900,1.7e+08,D,21.649099,25.090263,3s2.3p2.(3P).4s,4P,5/2,3s2.3p2.(3P).4p,4D*,7/2,,"T1619CA,LS",L480
Fe,1,3603.4896,2950,1.02e+07,B,2.86539125,6.30606149,3d6.(5D).4s.4p.(3P*),z 7F*,3,3d6.(5D).4s (6D).4d,f 7D,3,,T5720,L11631
Fe,2,3603.55293,1800bl(Fe I),,,9.7607579,13.2013658,3d6.(5D).5s,e 6D,3/2,3d5.(4F).4s.4p.(3P*),6F*,1/2,,,L18349c148
