element,sp_num,obs_wl_vac(A),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Ar,2,3579.3771,8,,,21.351799846,24.81564826,3s2.3p4.(1D).4p,2P*,3/2,3s2.3p4.(3P).5d,4D,3/2,,,L11520
Fe,1,3579.4037,1480,7.82e+06,C+,2.88515991,6.34898259,3d6.(5D).4s.4p.(3P*),z 7F*,0,3d6.(5D).4s (6D).4d,e 7F,1,,T5720,L11631
Sc,1,3579.496,3,,,1.8649582,5.328692,3d2.(3F).4s,2F,7/2,3d.4s.(1D).5p,2F*,7/2,,,L4189c12
V,2,3579.659,3100,1.9e+06,D,2.3763202,5.83989528,3d3.(2P).4s,b 3P,1,3d3.(4P).4p,y 5D*,2,,T9770,L10089c179
Fe,1,3579.698,500,1.8e+06,E,2.27860466,5.74214676,3d6.4s2,a 3P2,2,3d7.(4P).4p,w 5P*,2,,T2578n,L11631
Cr,1,3579.7254,1380q,1.48e+08,B,0.00000000,3.46352849,3d5.(6S).4s,a 7S,3,3d4.(5D).4s.4p.(3P*),y 7P*,4,,"T2887,T3125,T2360",L14866
Ti,1,3579.8655,6,,,1.9968989,5.46027577,3d2.(3F).4s.4p.(3P*),z 5G*,4,3d3.(4F).4d,5F,4,,,L10989
V,1,3580.102,31000,,,1.05091908,4.5140665,3d4.(5D).4s,a 4D,3/2,3d3.(4P).4s.4p.(3P*),y 4S*,3/2,,,L15916
V,1,3580.639,11000*,,,2.0285661,5.4911951,3d3.(4F).4s.4p.(3P*),z 6G*,3/2,3d3.4s.(5F).4d,4P,5/2,,,L15916
V,1,3580.639,11000*,,,1.21809838,4.6807252,3d3.4s2,a 4P,5/2,3d4.(3F2).4p,w 2D*,5/2,,,L15916
Li,1,3580.8,,,,,,,,,,,,,,L1560
Ti,1,3580.892,6,,,1.9807258,5.44311148,3d2.(3F).4s.4p.(3P*),z 5G*,3,3d3.(4F).4d,f 5H,4,,,L10989
Sc,2,3581.677,8bl,4.6e+07,E,3.697696,7.159334,3p6.3d.4p,3P*,2,3p6.3d.5s,3D,3,,T2757,L5141
V,1,3581.8480,110000,,,2.11454108,5.57600000,3d4.(3G).4s,a 4G,5/2,3d3.4s.(5F).5p,4G*,5/2,,,L15916
Sc,2,3581.950,"12g,bl",1.23e+08,B+,0.000000,3.461364,3p6.3d.4s,3D,1,3p6.3d.4p,3D*,1,,T5448,L5141
Fe,1,3582.2150,r,1.02e+08,A,0.85899575,4.32010008,3d7.(4F).4s,a 5F,5,3d7.(4F).4p,z 5G*,6,,T3548,L11631
V,1,3582.410,9800,,,3.0822349,6.5431511,3d3.4s2,2F,5/2,52774o,p 2G*,7/2,,,L15916
Ti,4,3582.414,10,7.7e+07,D,28.630974,32.091881,3p6.5p,2P*,3/2,3p6.5d,2D,3/2,,T2757,"L2753,L11926"
O,2,3582.509,4,,,29.0686699,32.529492,2s2.2p2.(3P).3d,2D,5/2,2s2.2p2.(3P).5p,2P*,3/2,,,L10621
V,1,3582.567,9800,,,1.18338392,4.6441475,3d3.4s2,a 4P,1/2,3d4.(3F2).4p,w 2D*,3/2,,,L15916
Ar,2,3582.63005,68,1.76e+08,B,19.64258207,23.103285166,3s2.3p4.(3P).4p,4D*,1/2,3s2.3p4.(3P).4d,4F,3/2,,T926,L11520
Fe,1,3582.6689,4370,3.21e+06,C+,2.69240763,6.15307342,3d7.(2G).4s,a 3G,5,3d7.(2G).4p,v 3G*,4,,T5720,L11631
Cr,2,3582.76908,140,,,10.87186553,14.33243435,3d4.(5D).4d,f 6D,9/2,3d4.(5D<3>).5f,2[5]*,11/2,,,L18847
C,2,3582.785,21,1.97e+06,B,22.529299,25.989855,2s.2p.(3P*).3p,4D,3/2,2s.2p.(3P*).4s,4P*,5/2,,T5109LS,L1176
Fe,1,3582.8297,2290,8.68e+06,C+,3.07133880,6.53184961,3d7.(2P).4s,c 3P,1,3d7.(2D2).4p,t 3D*,2,,T5720,L11631
Sc,1,3582.984,1,,,,,,,,,,,,,L4189c12
Cr,2,3583.1281,58,,,10.89306177,14.35328465,3d4.(5D).4d,e 6F,7/2,3d4.(5D<4>).5f,2[2]*,5/2,,,L18847
Cr,1,3583.17,4,,,3.9795577,7.4397327,3d4.4s2,a 1I,6,3d5.(2G1).4p,x 1H*,5,,,L808
Ne,2,3583.173,60,,,34.7489205,38.2091012,2s2.2p4.(3P).3d,2D,5/2,2s2.2p4.(3P).5p,2D*,3/2,,,L1406
V,1,3583.192,21000,,,1.37629850,4.8364586,3d3.4s2,a 2G,9/2,3d3.(2H).4s.4p.(3P*),y 2I*,11/2,,,L15916
Fe,1,3583.2221,23400,2.35e+07,B,3.23672008,6.69685175,3d7.(2H).4s,b 3H,6,3d6.(3D).4s.4p.(3P*),5F*,5,,T5720,L11631
Fe,1,3583.3424,980,,,3.30092244,6.76093930,3d7.(2D2).4s,a 3D,2,3d7.(4F).5p,5D*,2,,,L11631
Ar,2,3583.37694,155,2.53e+08,B,19.61030789,23.070289982,3s2.3p4.(3P).4p,4D*,3/2,3s2.3p4.(3P).4d,4F,5/2,,T926,L11520
Fe,1,3583.5866,560,2.44e+05,C,2.45343044,5.91320801,3d6.4s2,a 3H,4,3d6.(3G).4s.4p.(3P*),w 5G*,3,,T5720,L11631
Cr,1,3583.6438,63,,,1.03000806,4.48973240,3d4.4s2,a 5D,4,3d4.(5D).4s.4p.(3P*),z 3F*,4,,,L14866
Fe,1,3583.7057,850,,,2.88199261,6.34165661,3d6.(5D).4s.4p.(3P*),z 7F*,1,3d6.(5D).4s (6D).4d,e 5S,2,,,L11631
V,1,3583.8408,180000,,,2.13774423,5.59727866,3d4.(3G).4s,a 4G,11/2,3d3.4s.(5F).5p,4G*,9/2,,,L15916
Sc,1,3583.973,1,,,1.9535607,5.412964,3d.4s.(3D).4p,4F*,5/2,4s2.4d,2D,5/2,,,L4189c12
Mn,2,3584.065,10,,,6.8114703,10.270790,3d4.4s2,c 5D,1,3d5.(4F).4p,x 5D*,0,,,L562
Cr,2,3584.5388,48,,,10.87186553,14.33072845,3d4.(5D).4d,f 6D,9/2,3d4.(5D<3>).5f,2[6]*,11/2,,,L18847
Ca,3,3584.682,42,,,40.047337,43.506060,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,3s2.3p5.(2P*<1/2>).4f,2[5/2],2,,,L1405
Fe,1,3584.7044,690,,,3.28302483,6.74172473,3d6.(5D).4s.4p.(3P*),z 5D*,1,3d7.(4F).4d,f 5G,2,,,L11631
V,1,3584.731,230000,4.6e+06,D+,1.08061491,4.5392903,3d4.(5D).4s,a 4D,7/2,3d3.(2D2).4s.4p.(3P*),x 4P*,5/2,,T284n,L15916
Cr,1,3584.76,3wh,,,3.84701382,7.3056424,3d5.(2D3).4s,b 3D,2,3d5.(4P).5p,t 3D*,3,,,L808
S,2,3585.180,15,,,16.534639,19.992882,3s2.3p2.(3P).3d,2D,3/2,3s2.3p2.(3P<2>).4f,2[2]*,5/2,,,L5883
Cr,2,3585.2778,120,,,10.90422840,14.36237579,3d4.(5D).4d,e 6F,9/2,3d4.(5D<4>).5f,2[5]*,11/2,,,L18847
Cr,1,3585.360,15wH,,,3.1952485,6.653317,3d4.(5D).4s.4p.(3P*),z 7F*,6,3d4.4s.4d,e 7G,7,,,L808
V,1,3585.418,20000,,,1.86948173,5.3274939,3d4.(3P2).4s,b 4P,1/2,3d3.(4P).4s.4p.(1P*),w 4S*,3/2,,,L15916
Fe,1,3585.6823,62000,3.29e+07,B+,2.69240763,6.15016512,3d7.(2G).4s,a 3G,5,3d7.(2G).4p,y 3H*,5,,T5720,L11631
Ti,2,3585.7332,9,,,5.64734724,9.10505571,3d2.(3P).4p,y 2P*,3/2,3d2.(3P).5s,2P,1/2,,,u37
